cohort_id,cohort_name,pathogen,symptom_id,symptom_domain,symptom_verbatim,mapping_confidence,ascertainment,instrument_id,severity_threshold,reference_period,timepoint_months,denominator_basis,n_with_symptom,n_assessed,percent,ci_low,ci_high,value_precision,comparator_percent,comparator_n,comparator_group,effect_estimate,effect_type,p_value,publication_id,source_locator,last_verified
blomberg-2021-bergen-covid,Bergen COVID-19 home-isolated cohort (Blomberg),SARS-CoV-2,fatigue,fatigue_pem,fatigue,exact,structured_checklist,,,current,6,symptomatic_subset,13,61,21,,,exact,,,,,none,,blomberg-2021,"Results (home-isolated adults 16-30: fatigue 21%, 13 of 61)",2026-07-20
blomberg-2021-bergen-covid,Bergen COVID-19 home-isolated cohort (Blomberg),SARS-CoV-2,anosmia_dysgeusia,sensory,loss of taste and/or smell,exact,structured_checklist,,,current,6,symptomatic_subset,17,61,28,,,exact,,,,,none,,blomberg-2021,"Results (home-isolated adults 16-30: loss of taste/smell 28%, 17 of 61)",2026-07-20
blomberg-2021-bergen-covid,Bergen COVID-19 home-isolated cohort (Blomberg),SARS-CoV-2,dyspnea,respiratory,dyspnea,exact,structured_checklist,,,current,6,symptomatic_subset,8,61,13,,,exact,,,,,none,,blomberg-2021,"Results (home-isolated adults 16-30: dyspnea 13%, 8 of 61)",2026-07-20
blomberg-2021-bergen-covid,Bergen COVID-19 home-isolated cohort (Blomberg),SARS-CoV-2,cognitive_dysfunction,neurocognitive,impaired concentration,close,structured_checklist,,,current,6,symptomatic_subset,8,61,13,,,exact,,,,,none,,blomberg-2021,"Results (home-isolated adults 16-30: impaired concentration 13%, 8 of 61)",2026-07-20
blomberg-2021-bergen-covid,Bergen COVID-19 home-isolated cohort (Blomberg),SARS-CoV-2,memory_impairment,neurocognitive,memory problems,exact,structured_checklist,,,current,6,symptomatic_subset,7,61,11,,,exact,,,,,none,,blomberg-2021,"Results (home-isolated adults 16-30: memory problems 11%, 7 of 61)",2026-07-20
huang-2021-wuhan,Jinyintan (Wuhan) COVID-19 discharge cohort (Huang),SARS-CoV-2,fatigue,fatigue_pem,fatigue or muscle weakness,close,structured_checklist,,,current,6,assessed_at_timepoint,1038,1655,63,,,exact,not_reported,,unexposed_matched,,none,,huang-2021,"Results (fatigue or muscle weakness 63%, 1038 of 1655)",2026-07-20
davis-2021-longcovid,Patient-Led Long COVID international cohort (Davis 2021),SARS-CoV-2,fatigue,fatigue_pem,fatigue,exact,structured_checklist,somatic-symptom-self-report,,current,6,symptomatic_subset,,3762,80.0,78.5,81.6,approximate,,,,,none,,davis-2021,"Results, symptoms after month 6 (fatigue 80.0%, 95% CI 78.5-81.6)",2026-07-20
davis-2021-longcovid,Patient-Led Long COVID international cohort (Davis 2021),SARS-CoV-2,post_exertional_malaise,fatigue_pem,post-exertional malaise,exact,structured_checklist,somatic-symptom-self-report,,current,6,symptomatic_subset,,3762,73.3,71.5,75.1,approximate,,,,,none,,davis-2021,"Results, symptoms after month 6 (post-exertional malaise 73.3%, 95% CI 71.5-75.1)",2026-07-20
davis-2021-longcovid,Patient-Led Long COVID international cohort (Davis 2021),SARS-CoV-2,cognitive_dysfunction,neurocognitive,cognitive dysfunction,exact,structured_checklist,somatic-symptom-self-report,,current,6,symptomatic_subset,,3762,58.4,56.5,60.2,approximate,,,,,none,,davis-2021,"Results, symptoms after month 6 (cognitive dysfunction 58.4%, 95% CI 56.5-60.2)",2026-07-20
telechik-reunion,TELECHIK cohort (Réunion chikungunya),Chikungunya virus,arthralgia,musculoskeletal,long-lasting rheumatic musculoskeletal pain,exact,structured_checklist,somatic-symptom-self-report,,since_infection,24,assessed_at_timepoint,,512,29.9,,,derived,8.9,582,seronegative_contacts,,pr,,duvignaud-2018,"Weighted prevalence, CHIKV+ vs CHIKV- (LRMSP 29.9% vs 8.9%)",2026-07-20
telechik-reunion,TELECHIK cohort (Réunion chikungunya),Chikungunya virus,fatigue,fatigue_pem,idiopathic chronic fatigue,close,structured_checklist,somatic-symptom-self-report,,since_infection,24,assessed_at_timepoint,,512,34.3,,,derived,12.7,582,seronegative_contacts,,pr,,duvignaud-2018,"Weighted prevalence, CHIKV+ vs CHIKV- (idiopathic chronic fatigue 34.3% vs 12.7%)",2026-07-20
telechik-reunion,TELECHIK cohort (Réunion chikungunya),Chikungunya virus,cfs_like_illness,fatigue_pem,chronic fatigue syndrome-like illness,exact,structured_checklist,somatic-symptom-self-report,,since_infection,24,assessed_at_timepoint,,512,21.5,,,derived,6.7,582,seronegative_contacts,,pr,,duvignaud-2018,"Weighted prevalence, CHIKV+ vs CHIKV- (CFS-like illness 21.5% vs 6.7%)",2026-07-20
