Therapy,Primary Condition,Category,Evidence Level,Evidence Type,Key Finding,Availability,DOI / Source
Phosphatidylcholine ± computer-assisted cognitive training,PACS/PACVS cognition,Supplement + Intervention,Preliminary,Prospective comparative n=29,"Both treatment groups improved vs control; PACVS patients explicitly included alongside PACS",OTC + digital,https://doi.org/10.3389/fneur.2024.1419134
Neural therapy (local anaesthetic injection),PACVS musculoskeletal pain,Procedure,Preliminary,Case report n=1,"Single neuraltherapeutic stimulus sufficient to completely reverse persistent post-vaccination musculoskeletal pain",Rx (procedure),https://doi.org/10.1177/09226028251412573
Maraviroc + pravastatin,PASC / PACVS,Pharmaceutical,Preliminary,Case series n=18 (pre-selected responders) + Phase III RCT ongoing,"Biomarker normalisation (CD16+ monocytes) + subjective symptom improvement; critical selection bias — responders only enrolled",Rx,https://doi.org/10.3389/fmed.2023.1122529
Vaxtherapy protocol (nattokinase / fibrinolytics → monoclonal antibody → antimicrobials → mitochondrial supplements),PACVS / longvax,Multi-modal framework,Mechanistic + case series,Narrative review + clinical observations,"Four-stage protocol anchored in pathophysiology; stage 4 (mitochondrial supplements) directly overlaps with VitalScan4PACVS protocol",OTC / Rx / Research,https://doi.org/10.3390/diseases13070204
Antihistamines H1+H2 (fexofenadine 180mg + famotidine 40mg),PASC / MCAS phenotype,Pharmaceutical,Preliminary,Prospective observational n=14 treated vs 13 controls 20 days,"29% symptom-free at 20 days; fatigue, tachycardia, abdominal symptoms significantly lower in treated group; not statistically significant (underpowered)",OTC / Rx,https://doi.org/10.3389/fcvm.2023.1202696
Antihistamines H1+H2 (loratadine + famotidine/nizatidine),PASC / MCAS / long COVID,Pharmaceutical,Preliminary,Observational n=26 of 49 long COVID patients 4–16 weeks,"Gradual symptom improvement over 4–16 weeks; gradual response argues against placebo; T cell alterations documented",OTC / Rx,https://pmc.ncbi.nlm.nih.gov/articles/PMC8494538/
STIMULATE-ICP (loratadine + famotidine),Long COVID / MCAS,Pharmaceutical,RCT (results pending),RCT — UCL University College Hospital,"H1+H2 antihistamine RCT in long COVID; results pending publication",Rx,Pending
NAC — N-Acetylcysteine,PASC / PACVS / MCAS,Supplement,Preliminary,Case series n=3 NAC vs n=6 controls + medrxiv RCT (acute COVID),"Yale: vWF normalised 3/3 NAC vs 0/6 controls (p=0.0119); primary mechanism is lipid metabolism restoration (beta-oxidation protection) not spike protein",OTC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11814706/
L-Arginine + Vitamin C,PASC / PACVS,Supplement,RCT (best supplement evidence),Single-blind RCT n=56 28 days,"Fatigue 8.7% vs 80.1% placebo (p<0.0001); 6MWT d=0.56; eNOS/ADMA ratio d=0.72; targets documented arginine depletion in PASC",OTC,https://pubmed.ncbi.nlm.nih.gov/36501014/
Creatine monohydrate,PASC / PACVS,Supplement,RCT,2 RCTs (Slankamenac 2023 n=6/group; 2026 Frontiers n=67) + meta-analysis,"Mental fatigue d=1.02 (6mo); concentration d=1.19–2.46 (note: n=6 inflates effect sizes); 2026 RCT: fatigue −2.05 points p=0.005; ATP buffering + neuroprotection mechanism",OTC,https://onlinelibrary.wiley.com/doi/full/10.1002/fsn3.3597
