disease,spontaneous_remission_rate,best_intervention_remission_rate,gap_size,barrier_type,barrier_detail,last_soc_change,outdated_treatments,adjunctive_emerging,frontier_signal
Type 2 Diabetes,1.6-1.7% at 7 years on standard care (population-level cohorts UK and US),46-58% at 5 years post-bariatric surgery; up to 86% at 1 year with >15% total weight loss via intensive dietary intervention (DiRECT trial: 36% at 2 years),Very large,practice/access,Remission is biologically achievable and demonstrated in multiple large RCTs but almost never offered as the primary clinical strategy; default is indefinite pharmacotherapy escalation,2023 — ADA Standards of Care added formal remission definition (HbA1c <6.5% off all glucose-lowering meds 3+ months) and early GLP-1/SGLT2 use; prior first-line was metformin-only since ~2006,"Sulfonylureas (hypoglycemia risk, weight gain, no CV benefit) remain widely prescribed despite GLP-1 and SGLT2 inhibitors showing CV and renal protection; insulin as early add-on before weight-loss intervention is attempted","Berberine (equivalent HbA1c lowering to metformin in some trials), time-restricted eating, very low carbohydrate diet, resistance training as primary intervention (not adjunct)","Tirzepatide achieving 15-22% body weight loss with high remission rates; semaglutide 2.4mg SUSTAIN trials; islet cell encapsulation (Vertex VX-880, Phase 1/2)"
Hypertension,Not well-characterized as population baseline; routinely framed as irreversible in clinical culture despite contrary trial evidence,Up to 93% had medications discontinued or reduced with intensive residential lifestyle intervention; DASH + weight loss reduced guideline-based medication indication from 51% to 18%; Lancet eClinicalMedicine 2024 meta-analysis confirms lifestyle superiority in motivated patients,Large — primarily a framing and practice gap,framing/practice,"The 'requires lifelong medication' framing is contradicted by multiple trials when intensive lifestyle intervention is actually delivered; the gap is delivery infrastructure, not biology","2017 — ACC/AHA lowered treatment threshold from 140/90 to 130/80 mmHg (JNC 8 2014 had controversially raised threshold for over-60s to 150/90); first-line drug classes (ACE/ARB, CCB, thiazide) unchanged since early 2000s",Beta-blockers as first-line antihypertensive (no longer recommended in most guidelines for uncomplicated hypertension but still widely prescribed); high-dose diuretic monotherapy,"DASH diet + sodium restriction (as primary, not adjunct); potassium supplementation (magnitude comparable to one antihypertensive); resistance training (BP reduction comparable to aerobic); device-based renal denervation (FDA-cleared 2023, Medtronic Symplicity)","Renal denervation (Symplicity HTN-3 initially failed, SPYRAL HTN OFF-MED and RADIANCE-HTN SOLO showed 8-10 mmHg reduction); RNA interference therapy zilebesiran (single injection, 6-month BP lowering, Phase 3 underway)"
Rheumatoid Arthritis,11% achieve drug-free remission (DFR) at median 74 months; most cohorts show 10-15% DFR ceiling,Early aggressive treat-to-target improves DFR rates modestly; some biologic-era cohorts reach 20-25% DFR; on-drug remission rates (DAS28 <2.6) reach 40-60% with modern biologics and JAK inhibitors,Small for drug-free remission (biological ceiling is genuinely low); large gap between on-drug remission and drug-free remission,biological (DFR); practice (on-drug remission underachieved due to treatment inertia),Treat-to-target strategy is guideline-recommended but poorly implemented in routine care; many patients remain on inadequate therapy without escalation,2021 — ACR guidelines added JAK inhibitors with safety caveats; IL-6 inhibitors and IL-17 added to biologics ladder; treat-to-target explicitly endorsed; first-line (MTX) unchanged since 1990s,"Hydroxychloroquine or sulfasalazine monotherapy as long-term maintenance (appropriate bridging, not curative); COX-2 inhibitors as primary disease management; gold salts (essentially abandoned but occasionally seen in older patients)",Low-dose naltrexone (LDN) emerging in case series; dietary interventions (Mediterranean diet reduces DAS28 scores); HBOT in early case reports; photobiomodulation for joint inflammation,"CAR-T cell therapy (case reports in Germany, 2023-2024 showing sustained drug-free remission); regulatory T-cell therapies; anti-CD20 + tolerogenic approaches for DFR induction"
Major Depressive Disorder,Relapse in 19-45% within 1 year of antidepressant discontinuation after remission; relapse risk ratio (off-medication vs on) falls from 3.69x at 2 months to 1.34x at 5 years,55-80% remain relapse-free at 1 year after well-managed discontinuation; psychotherapy (CBT) achieves comparable remission with better durability; psilocybin-assisted therapy showing 29-71% response at 3 months in treatment-resistant cases,Moderate; narrows substantially over time for maintenance medication question,practice,"Guidelines push long maintenance durations partly because short-term relapse risk is high, but long-term maintenance evidence is weaker than commonly assumed; psychotherapy significantly underutilized relative to medication","2023 — FDA approved esketamine (Spravato) nasal spray for TRD; 2023 FDA approved psilocybin-assisted therapy pathway (Australian TGA 2023, US FDA Breakthrough designation); first-line SSRIs unchanged since early 1990s","Tricyclic antidepressants (TCAs) in routine first-line use; benzodiazepine co-prescribing as long-term adjunct (dependence risk, no antidepressant effect); antipsychotic augmentation before psychotherapy is attempted","Exercise (meta-analysis: comparable to SSRI for mild-moderate depression); phototherapy (for non-seasonal depression, underutilized); anti-inflammatory interventions (NSAIDs, omega-3) for inflammatory subtype; vagus nerve stimulation (FDA-cleared 2005, coverage finally added 2023)","Psilocybin-assisted therapy (COMP360, FDA Breakthrough); MDMA-assisted therapy (FDA review ongoing); rapid-acting glutamatergic agents (ketamine analogs); transcranial magnetic stimulation (expanded protocols)"
Epilepsy,"60-85% achieve seizure freedom on medication; of those, 50-75% remain seizure-free after withdrawal (varies by syndrome and duration of freedom)",Not clearly higher than on-medication rates -- the real gap is behavioral/practice,Small biological gap; large practice gap,practice,Only 26-45% of seizure-free patients who are candidates for medication withdrawal ever attempt it; physician and patient reluctance vastly exceeds biological risk,"2023 — FDA approved cenobamate, fenfluramine for Dravet; first-line ASM (levetiracetam, lamotrigine, valproate) unchanged since 1990s-2000s; ketogenic diet formally endorsed in 2018 AES guidelines","Phenobarbital as first-line in adults (cognitive effects, dependence; still >50% of first-line therapy in low-income countries and some US rural settings); phenytoin loading in status epilepticus (fosphenytoin preferred); carbamazepine without therapeutic drug monitoring","Ketogenic diet (proven for drug-resistant epilepsy, underutilized); vagus nerve stimulation; responsive neurostimulation (RNS); low-glycemic index treatment; CBD (Epidiolex approved, broader CBD products under study)",Gene therapy for SCN1A (Dravet syndrome) in early trials; antisense oligonucleotides (ASOs) for genetic epilepsies; optogenetic approaches; closed-loop neurostimulation with seizure prediction
Hepatitis C,Spontaneous clearance in <30% of acute cases; chronic infection rarely clears without treatment (<1%/year),>95% cured (sustained virologic response at 12 weeks) with 8-12 week courses of direct-acting antivirals (DAAs),Near-zero biological gap; large access/utilization gap,access,"Only 65% of eligible patients with private insurance received DAA treatment as of 2020; rates declining since 2019; Medicaid restrictions remain in many states; $20,000+ drug cost for generics unavailable in US","2014-2016 — DAA revolution (sofosbuvir 2013, ledipasvir/sofosbuvir 2014, pan-genotypic regimens 2016-2017); prior interferon-ribavirin standard unchanged since ~2001 with <50% efficacy and severe side effects",Interferon-based regimens (now essentially obsolete but occasionally prescribed in settings with limited DAA access); ribavirin-only maintenance (no antiviral effect alone),Harm reduction integration (needle exchange + DAA treatment as combined strategy); primary-care-based treatment (task-shifting from hepatologist to GP dramatically increases uptake in trials),"HCV vaccine candidates (multiple Phase 1/2, MRC/NIH); cure for HCV reactivation in immunocompromised; ultra-short (4-week) DAA regimens under investigation"
Inflammatory Bowel Disease (Crohn's / UC),Disease course unchanged in ~85% of patients at 10 years on standard care; ~23% (CD) and ~12% (UC) relapse within 12 months of thiopurine withdrawal in sustained remission,"Anti-IL-23 biologics (mirikizumab, risankizumab) maintain steroid-free remission in >60% at 2 years — but on the drug, not drug-free",Large -- but between 'no remission' and 'on-drug remission'; drug-free remission remains rare,biological,Biologic revolution has raised on-drug remission without meaningfully improving drug-free remission rates; true disease modification (cure-like durability off treatment) remains elusive,"2023 — IL-23 inhibitors added to UC/CD ladder; 2018-2022 JAK inhibitors (tofacitinib, upadacitinib) added; anti-TNF (infliximab) first-line since 1998, essentially unchanged as backbone","Long-term corticosteroids as maintenance (bone density loss, metabolic effects; guidelines explicitly recommend against steroid-dependent maintenance); azathioprine monotherapy without biologic in moderate-severe disease",Fecal microbiota transplantation (FMT) — RCT evidence in UC showing ~32% remission vs 9% placebo; exclusive enteral nutrition (EEN) in pediatric Crohn's comparable to steroids; low-FODMAP diet; exclusive dietary therapy trials underway,"FMT (multiple Phase 3 underway); stem cell transplantation for refractory CD (ASTIC trial); selective JAK1 inhibitors (filgotinib, upadacitinib); gut-selective S1P modulators; anti-TL1A (tulisokibart, Phase 3)"
Asthma,26% of childhood-onset asthma in clinical remission by adulthood; <20% adult-onset achieves sustained remission; 65% long-term remission in mild-moderate vs 16% in severe,"Biologics (anti-IL-5, anti-IL-4/13, anti-IgE) achieve near-zero exacerbation rates in eligible severe patients; allergen immunotherapy (AIT) achieves sustained drug-free remission in allergic asthma in ~30-40% of treated patients",Moderate; highly severity-dependent; large practice gap for AIT,biological (severe phenotype) + practice (AIT underutilized),Allergen immunotherapy is the only disease-modifying treatment for allergic asthma and is underused relative to guidelines; biological phenotyping (T2-high vs T2-low) drives outcomes more than treatment intensity alone,2022 — GINA guidelines introduced 'anti-inflammatory reliever' strategy (ICS-formoterol as reliever replacing SABA monotherapy); biologics formally endorsed as step 5 since ~2016; ICS as first-line unchanged since 1990s,Short-acting beta-agonist (SABA) monotherapy as reliever without ICS (GINA 2019 explicitly removed SABA-only from recommended options after evidence of harm); oral corticosteroid 'burst' as go-to for exacerbations without underlying biologic assessment,"Bronchial thermoplasty (FDA approved, underutilized in severe non-biologic-eligible patients); vitamin D supplementation (meta-analysis: reduces exacerbation risk 50% in deficient patients); dietary intervention (Mediterranean diet reduces exacerbation frequency)",Tezepelumab (anti-TSLP) for unselected severe asthma regardless of eosinophil count; dupilumab extended to children 6+ months; CRISPR approaches to IL-4 receptor editing in murine models
COPD,Effectively zero — airflow obstruction is irreversible by definition in COPD; FEV1 decline continues at 30-60 mL/year on standard care,Smoking cessation slows FEV1 decline to near-normal aging rate (the only intervention that does this); lung volume reduction surgery (LVRS) improves FEV1 15-20% in selected emphysema patients; 52% of COPD patients achieve clinically meaningful improvement after pulmonary rehabilitation,Large for disease modification (smoking cessation the only real lever); moderate for functional outcomes (pulmonary rehab underused),biological + practice,"Biological limit: structural lung damage is not reversible with any current pharmacotherapy. Practice gap: pulmonary rehabilitation achieves clinically meaningful improvement in 52% of patients but fewer than 2% of eligible COPD patients in the US receive it. 26% of patients with a COPD diagnosis have no evidence of airflow obstruction on spirometry (misdiagnosed, overtreated)","2024 — GOLD report added dupilumab for Type 2 inflammation subgroup (eosinophilic COPD); triple therapy (LABA/LAMA/ICS) endpoint data (IMPACT, ETHOS trials 2018-2020); LABA/LAMA dual bronchodilation as backbone unchanged since ~2006","ICS monotherapy without LABA/LAMA in non-eosinophilic COPD (increases pneumonia risk, no mortality benefit); mucolytic agents (e.g., NAC) at standard doses (high-dose emerging evidence, but standard dose RCTs largely negative); long-term oral corticosteroids in stable COPD","High-dose NAC (1800 mg/day vs standard 600 mg) showing FEV1 benefit in Chinese cohorts; endobronchial valve placement (FDA approved, Zephyr valve) for hyperinflation in selected patients; airway clearance devices","Dupilumab in eosinophilic COPD (BOREAS/NOTUS trials positive, 2023-2024); tezepelumab Phase 3 in COPD; lung regeneration approaches; stem cell therapy (early Phase 1); senolytic therapy (targeting lung senescent cells — navitoclax, dasatinib+quercetin)"
GERD (Gastroesophageal Reflux Disease),"Symptom recurrence in 70-80% within 6 months of PPI discontinuation in erosive GERD; highly variable in non-erosive disease; ~20% of GERD is nonerosive, where acid suppression is less effective",Weight loss of >10% reduces symptoms in 65-81% of obese patients; laparoscopic anti-reflux surgery (Nissen fundoplication) achieves long-term symptom control in 85-92% and eliminates daily PPI need in majority; bariatric surgery in obese patients near-eliminates GERD,Large for lifestyle/surgical approaches vs standard chronic PPI use,framing/practice,AGA 2022 guidelines explicitly recommend PPI de-escalation or discontinuation in patients without erosive esophagitis or Barrett's — yet 84 million monthly Medicare PPI claims in 2019 suggest massive overprescription; most patients are never offered surgical or intensive lifestyle options,2022 — AGA Clinical Practice Update on PPI de-prescribing (explicit guidance to attempt discontinuation in low-risk patients); 2022 vonoprazan (P-CAB) approved as alternative; PPI-first strategy unchanged since 1989,"Indefinite daily PPI in uncomplicated, nonerosive GERD (80% of GERD cases do not meet criteria for long-term PPI; 70-80% of GERD patients on PPIs have no documented appropriate indication); H2 blocker + PPI combination (additive acid suppression not demonstrated)","Alginate-based formulations (Gaviscon Advance) as effective as PPI for nonerosive GERD in some RCTs; LINX magnetic sphincter augmentation device (FDA approved 2012, underused); dietary modification (low-acid, low-fat, eliminating triggers) as primary rather than adjunct","Transoral incisionless fundoplication (TIF) procedure — no incision, outpatient, durable at 5 years; Vonoprazan (P-CAB) for PPI-refractory cases; microbiome-targeted approaches for functional heartburn vs true GERD differentiation"
